Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
 Honduras,"1,081","1,121","1,122","1,145","1,204","1,297","1,420","1,572","1,728","1,777"
 Hong Kong,"25,574","25,167","24,731","23,856","24,874","26,552","28,028","30,495","31,488","30,594"
 Hungary,"4,625","5,275","6,647","8,400","10,281","11,200","11,472","13,920","15,752","13,040"
 Iceland,"32,344","29,061","32,516","39,620","47,580","57,406","58,239","70,375","57,296","41,189"
 India,442,450,469,544,624,711,802,"1,023",994,"1,097"
 Indonesia,870,834,"1,003","1,186","1,280","1,404","1,766","2,064","2,417","2,469"
 Iran,"5,777","5,125","2,021","2,353","2,765","3,292","3,864","5,046","5,891","6,017"
 Iraq,,,,609,"1,374","1,829","2,321","3,091","4,472","3,702"
 Ireland,"26,187","28,121","32,482","40,939","47,388","50,475","53,738","60,770","60,990","51,944"
 Israel,"21,718","20,973","19,087","19,672","20,593","21,285","22,559","25,739","30,278","28,522"
 Italy,"20,206","20,576","22,474","27,673","31,452","32,148","33,603","37,989","40,969","37,143"
 Jamaica,"3,511","3,530","3,710","3,586","3,856","4,241","4,495","4,829","5,134","4,507"
 Japan,"39,173","34,411","32,832","35,410","38,307","37,819","36,022","35,847","39,992","41,470"
 Jordan,"1,726","1,795","1,890","1,960","2,128","2,313","2,600","2,774","3,415","3,619"
 Kazakhstan,"1,229","1,491","1,658","2,068","2,874","3,771","5,292","6,771","8,514","7,165"
 Kenya,617,617,612,668,693,778,855,"1,028","1,119","1,123"
 Kiribati,890,755,854,"1,083","1,147","1,231","1,189","1,432","1,519","1,410"
 South Korea,"12,717","11,983","13,637","15,211","17,108","20,163","22,597","25,075","22,291","19,933"
 Kosovo,"1,506","1,704","1,807","2,206","2,275","2,318","2,400","2,866","3,025","2,878"
 Kuwait,"17,639","15,993","16,857","20,585","24,864","35,991","43,618","47,539","53,059","38,156"
 Kyrgyzstan,281,310,323,383,436,479,547,725,972,877
 Laos,317,318,329,397,460,526,662,787,969,"1,032"
 Latvia,"3,260","3,481","3,988","4,892","6,075","7,260","9,180","13,339","15,647","11,910"
 Lebanon,"3,939","3,955","4,236","4,326","4,625","4,630","4,666","5,162","5,958","7,150"
 Lesotho,493,414,458,671,853,922,917,931,869,"1,011"
 Liberia,303,306,312,232,286,293,333,388,464,470
 Libya,"7,625","6,693","3,956","4,986","6,180","8,739","10,561","11,801","14,763","10,196"
 Lithuania,"3,298","3,532","4,148","5,505","6,725","7,861","9,217","12,306","15,010","11,885"
 Luxembourg,"48,984","48,719","53,228","66,160","77,031","81,728","91,478","108,344","121,616","110,249"
 Macau,,"15,724","16,734","18,462","23,006","25,110","28,970","34,269","38,286","39,822"
 Madagascar,307,351,335,387,299,335,355,460,562,489
 Malawi,353,338,384,345,366,377,401,432,505,571
 Malaysia,"4,348","4,189","4,442","4,740","5,245","5,678","6,351","7,481","8,766","7,544"
 Maldives,"2,967","2,780","2,952","3,691","4,238","3,960","5,269","6,128","7,338","7,451"
 Mali,264,299,327,382,428,474,507,579,678,682
 Malta,"10,398","10,403","11,307","13,655","15,277","15,873","16,748","19,655","22,488","21,319"
 Marshall Islands,"2,247","2,427","2,657","2,625","2,634","2,695","2,781","2,905","2,794","2,893"
 Mauritania,673,642,635,712,797,963,"1,357","1,425","1,647","1,476"
 Mauritius,"4,158","4,081","4,253","5,073","5,702","5,590","5,773","6,663","8,138","7,417"
 Mexico,"7,468","7,902","7,935","7,390","7,807","8,626","9,457","10,064","10,438","8,347"
 Federated States of Micronesia,"2,176","2,251","2,256","2,289","2,234","2,341","2,376","2,422","2,511","2,678"
 Moldova,448,506,569,680,894,"1,031","1,179","1,526","2,103","1,891"
 Mongolia,473,521,566,639,790,989,"1,322","1,616","2,109","1,688"
 Montenegro,,,,,,,,,,
 Morocco,"1,487","1,490","1,573","1,914","2,163","2,233","2,427","2,760","3,189","3,163"
 Mozambique,335,310,317,341,399,433,451,499,580,536
 Myanmar,166,152,146,185,223,250,278,364,515,620
 Namibia,"2,192","1,945","1,811","2,611","3,458","3,748","3,897","4,354","4,181","4,324"
